radius_arr,dot_radius_arr,time_arr,dot_mass_arr,mass_out_arr,total_mass_arr,luminosity_AGN_arr
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0.020064702451226418,2004.9390468634558,9633.693102579056,14012.194374244622,137378889.94354084,550482326.656528,105918.68096108371
0.020376106667195172,2004.9388856025498,9785.855976229575,14012.196319311255,139511025.84368816,559041109.2381153,105918.68096108371
0.020687580780295117,2004.9388301872928,9938.053012175542,14012.19900478374,141643640.78615442,567602280.5136781,105918.68096108371
0.02099912482165549,2004.9388678979242,10090.28421808678,14012.202341766453,143776734.9844056,576165841.6677216,105918.68096108371
0.021310738820550092,2004.9389873726045,10242.54960163483,14012.206250853964,145910308.63914487,584731793.7748787,105918.68096108371
0.021622422804594876,2004.9391784585528,10394.849170492966,14012.210661090689,148044361.9398321,593300137.9718544,105918.68096108371
0.02193417679992405,2004.939432080531,10547.182932336174,14012.215509051754,150178895.06567207,601870875.2449899,105918.68096108371
0.02224600083134708,2004.9397401245153,10699.550894841173,14012.220738029986,152313908.1868575,610444006.6022727,105918.68096108371
0.02255789492248884,2004.9400953346617,10851.953065686397,14012.226297315845,154449401.4654422,619019532.9910622,105918.68096108371
0.02286985909591484,2004.9404912219536,11004.389452552006,14012.232141558989,156585375.05622593,627597455.3287594,105918.68096108371
0.023181893373243185,2004.9409219831068,11156.860063119891,14012.238230201494,158721829.10759282,636177774.5779552,105918.68096108371
0.023493997775244708,2004.9413824284998,11309.36490507366,14012.244526974206,160858763.76204473,644760491.5966651,105918.68096108371
0.023806172321932717,2004.9418679180635,11461.903986098647,14012.25099944866,162996179.15694,653345607.2653491,105918.68096108371
0.02411841703264333,2004.942374304187,11614.477313881913,14012.257618638087,165134075.42494157,661933122.3870126,105918.68096108371
0.024430731926107545,2004.9428978808269,11767.084896112245,14012.264358641743,167272452.6946166,670523037.7953099,105918.68096108371
0.024743117020515897,2004.9434353380987,11919.726740480157,14012.271196327545,169411311.0908906,679115354.3681653,105918.68096108371
