smbh_mass,bulge_mass,bulge_gas_frac,galaxy_mass,bulge_index,params_index,galaxy_index
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,31,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,32,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,32,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,33,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,33,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,34,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,34,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,35,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,35,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,36,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,36,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,37,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,37,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,38,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,38,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,39,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,39,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,40,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,40,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,41,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,41,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,42,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,42,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,43,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,43,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,44,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,44,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,45,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,45,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,46,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,46,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,47,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,47,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,48,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,48,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,49,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,49,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,50,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,50,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,51,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,51,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,52,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,52,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,53,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,53,0
