radius_arr,dot_radius_arr,time_arr,dot_mass_arr,mass_out_arr,total_mass_arr,luminosity_AGN_arr
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0.02029822548573169,2861.571171034039,6814.95774101824,53181.51567254202,369571365.28964573,740234126.0785117,815833.1666198481
0.020740831991160814,2861.5697101134397,6966.487776527001,53181.49538266252,377629960.6148745,756399428.4203423,815833.1666198481
0.02118353767077497,2861.5686272006405,7118.05183225185,53181.48211942582,385690362.65766156,772569392.9204917,815833.1666198481
0.021626342600912386,2861.5678671149553,7269.649915830711,53181.47485731746,393752572.80853814,788744022.9979992,815833.1666198481
0.022069246850026324,2861.567382407704,7421.282034903224,53181.472714519645,401816592.31453395,804923321.8448814,815833.1666198481
0.022512250479784588,2861.5671322271974,7572.948197110744,53181.47493181729,409882422.29920864,821107292.4794666,815833.1666198481
0.022955353546008795,2861.567081362053,7724.648410096344,53181.48085481852,417950063.77951187,837295937.538589,815833.1666198481
0.023398556099478322,2861.5671994327445,7876.382681504809,53181.48991892986,426019517.68070084,853489259.5871971,815833.1666198481
0.023841858186619797,2861.567460206718,8028.151018982643,53181.50163662789,434090784.8488231,869687261.0724689,815833.1666198481
0.024285259850099484,2861.5678410168175,8179.953430178066,53181.51558665084,442163866.0613444,885889944.188443,815833.1666198481
0.024728761129333098,2861.568322266319,8331.789922741014,53181.53140479998,450238762.03664666,902097311.1092942,815833.1666198481
0.025172362060925272,2861.568887006764,8483.660504323143,53181.548776093645,458315473.441845,918309363.8217838,815833.1666198481
0.025616062679048947,2861.569520577146,8635.565182577824,53181.5674280617,466394000.8998602,934526104.3033037,815833.1666198481
0.02605986301577337,2861.570210294921,8787.50396516015,53181.587125003134,474474344.99527746,950747534.4214722,815833.1666198481
0.026503763101348034,2861.5709451909,8939.476859726927,53181.60766305902,482556506.279546,966973655.9737219,815833.1666198481
0.02694776296444873,2861.571715781383,9091.483873936686,53181.6288659778,490640485.2754335,983204470.6710088,815833.1666198481
0.02739186263239109,2861.5725138719695,9243.525015449675,53181.6505814691,498726282.4810651,999439980.2970512,815833.1666198481
0.027836062131316047,2861.5733323883605,9395.60029192786,53181.67267805928,506813898.37296164,1015680186.375879,815833.1666198481
0.028280361486351043,2861.5741652302163,9547.709711034931,53181.69504237545,514903333.4094179,1031925090.621209,815833.1666198481
